event_id,session_id,anonymous_id,article_id,content_version,event_type,occurred_at,received_at,channel,device,client_agent,duration_seconds,scroll_percent,region
e-04-0164-read_end,s-04-0164,anon-0091-4,guide-map,history-v1,read_end,2026-08-02T12:55:17+08:00,2026-08-03T04:55:39+00:00,home,desktop,browser,110,80,浙江
e-06-0042-read_end,s-06-0042,anon-0014-6,guide-faq,history-v1,read_end,2026-08-04T05:32:16+00:00,2026-08-04T13:33:11+08:00,home,mobile,browser,155,42,江苏
edge-03,s-00-0001,anon-0030-0,guide-account,history-v1,read_end,2026-08-05T23:40:41+08:00,2026-08-05T23:41:08+08:00,search,mobile,browser,-8,95,江苏
crawler-0049,crawl-49,,guide-map,history-v1,page_view,2026-08-08T16:10:37+00:00,2026-08-08T16:10:38+00:00,campaign,desktop,crawler,,,北京
e-03-0158-page_view,s-03-0158,anon-0036-3,guide-remote,history-v1,page_view,2026-08-08T04:45:00+08:00,2026-08-07T20:46:10+00:00,home,desktop,browser,,,未知
e-02-0059-page_view,s-02-0059,anon-0014-2,guide-expense,history-v1,page_view,2026-08-10T00:43:13+08:00,2026-08-09T16:44:31+00:00,home,mobile,browser,,,浙江
e-00-0207-read_end,s-00-0207,anon-0048-0,guide-account,history-v1,read_end,2026-08-13T03:47:25+00:00,2026-08-13T11:48:03+08:00,search,desktop,browser,3,91,未知
e-01-0047-read_end,s-01-0047,anon-0026-1,guide-device,history-v1,read_end,2026-08-04T16:33:01+08:00,2026-08-04T08:33:11+00:00,home,desktop,browser,157,15,未知
e-03-0148-read_end,s-03-0148,anon-0004-3,guide-remote,history-v1,read_end,2026-08-02T09:02:54+08:00,2026-08-02T09:03:13+08:00,home,mobile,browser,16,25,浙江
e-00-0238-read_end,s-00-0238,anon-0112-0,guide-account,history-v1,read_end,2026-08-05T13:43:48+08:00,2026-08-05T13:43:49+08:00,search,desktop,browser,135,86,上海
crawler-0172,crawl-172,,guide-map,history-v1,page_view,2026-08-08T16:37:16+00:00,2026-08-08T16:37:17+00:00,campaign,desktop,crawler,,,江苏
e-00-0157-read_end,s-00-0157,anon-0060-0,guide-account,history-v1,read_end,2026-08-14T05:51:12+08:00,2026-08-14T05:52:22+08:00,home,desktop,browser,164,24,未知
e-01-0133-page_view,s-01-0133,anon-0083-1,guide-device,history-v1,page_view,2026-08-01T20:30:45+08:00,2026-08-01T20:31:53+08:00,campaign,mobile,browser,,,四川
e-01-0078-page_view,s-01-0078,anon-0074-1,guide-device,history-v1,page_view,2026-08-10T18:42:51+00:00,2026-08-11T02:43:02+08:00,search,mobile,browser,,,浙江
e-01-0049-read_end,s-01-0049,anon-0070-1,guide-device,history-v1,read_end,2026-08-01T16:16:46+08:00,2026-08-01T16:17:10+08:00,home,mobile,browser,138,33,江苏
e-05-0005-read_end,s-05-0005,anon-0012-5,guide-permission,history-v1,read_end,2026-08-07T10:52:51+08:00,2026-08-07T02:52:56+00:00,search,desktop,browser,161,98,北京
e-04-0161-page_view,s-04-0161,anon-0023-4,guide-map,history-v1,page_view,2026-08-10T14:47:19+08:00,2026-08-10T06:48:11+00:00,search,desktop,browser,,,北京
e-04-0247-page_view,s-04-0247,anon-0065-4,guide-map,history-v1,page_view,2026-08-10T12:54:18+08:00,2026-08-10T12:54:48+08:00,home,mobile,browser,,,未知
e-03-0142-read_end,s-03-0142,anon-0059-3,guide-remote,history-v1,read_end,2026-08-07T04:19:35+08:00,2026-08-07T04:19:39+08:00,search,desktop,browser,53,91,未知
crawler-0059,crawl-59,,guide-map,history-v1,page_view,2026-08-08T16:12:47+00:00,2026-08-08T16:12:48+00:00,campaign,desktop,crawler,,,上海
e-00-0113-read_end,s-00-0113,anon-0074-0,guide-account,history-v1,read_end,2026-08-09T02:19:06+08:00,2026-08-08T18:20:35+00:00,search,desktop,browser,138,31,上海
e-04-0040-page_view,s-04-0040,anon-0048-4,guide-map,history-v1,page_view,2026-08-08T15:21:47+08:00,2026-08-08T15:22:52+08:00,home,desktop,browser,,,四川
e-01-0083-read_end,s-01-0083,anon-0067-1,guide-device,history-v1,read_end,2026-08-13T23:05:33+08:00,2026-08-13T15:06:53+00:00,direct,desktop,browser,106,31,北京
e-03-0101-read_end,s-03-0101,anon-0015-3,guide-remote,history-v1,read_end,2026-08-02T14:07:02+08:00,2026-08-02T06:07:45+00:00,search,desktop,browser,124,22,浙江
e-04-0250-page_view,s-04-0250,anon-0018-4,guide-map,history-v1,page_view,2026-08-07T13:38:27+08:00,2026-08-07T13:39:01+08:00,search,mobile,browser,,,上海
e-03-0126-page_view,s-03-0126,anon-0040-3,guide-remote,history-v1,page_view,2026-08-01T05:00:08+00:00,2026-08-01T13:01:22+08:00,search,mobile,browser,,,浙江
e-00-0203-read_end,s-00-0203,anon-0047-0,guide-account,history-v1,read_end,2026-08-12T21:40:20+08:00,2026-08-12T13:41:25+00:00,home,desktop,browser,117,48,浙江
e-04-0219-page_view,s-04-0219,anon-0090-4,guide-map,history-v1,page_view,2026-08-08T17:32:16+00:00,2026-08-09T01:32:39+08:00,search,desktop,browser,,,四川
e-01-0087-page_view,s-01-0087,anon-0042-1,guide-device,history-v1,page_view,2026-08-01T04:03:56+00:00,2026-08-01T12:05:02+08:00,direct,desktop,browser,,,未知
e-01-0067-page_view,s-01-0067,anon-0034-1,guide-device,history-v1,page_view,2026-08-14T17:26:03+08:00,2026-08-14T17:26:27+08:00,direct,mobile,browser,,,浙江
e-04-0063-page_view,s-04-0063,anon-0008-4,guide-map,history-v1,page_view,2026-08-07T14:14:39+00:00,2026-08-07T22:14:49+08:00,search,mobile,browser,,,四川
e-04-0329-page_view,s-04-0329,anon-0150-4,guide-map,history-v1,page_view,2026-08-09T14:24:11+08:00,2026-08-09T06:25:18+00:00,campaign,desktop,browser,,,浙江
e-03-0021-page_view,s-03-0021,anon-0039-3,guide-remote,history-v1,page_view,2026-08-05T13:59:38+00:00,2026-08-05T21:59:52+08:00,home,mobile,browser,,,广东
e-00-0052-page_view,s-00-0052,anon-0095-0,guide-account,history-v1,page_view,2026-08-01T15:09:41+08:00,2026-08-01T15:10:58+08:00,home,desktop,browser,,,江苏
e-04-0084-read_end,s-04-0084,anon-0161-4,guide-map,history-v1,read_end,2026-08-01T03:40:15+00:00,2026-08-01T11:40:41+08:00,campaign,desktop,browser,3,100,未知
e-06-0039-read_end,s-06-0039,anon-0013-6,guide-faq,history-v1,read_end,2026-08-03T10:17:20+00:00,2026-08-03T18:18:29+08:00,search,mobile,browser,71,90,上海
e-05-0084-read_end,s-05-0084,anon-0005-5,guide-permission,history-v1,read_end,2026-08-12T02:26:44+00:00,2026-08-12T10:27:56+08:00,search,mobile,browser,197,95,上海
e-04-0254-page_view,s-04-0254,anon-0151-4,guide-map,history-v1,page_view,2026-08-05T22:40:10+08:00,2026-08-05T14:40:39+00:00,home,desktop,browser,,,未知
e-00-0102-read_end,s-00-0102,anon-0069-0,guide-account,history-v1,read_end,2026-08-07T20:49:30+00:00,2026-08-08T04:50:14+08:00,search,mobile,browser,124,18,江苏
e-01-0140-page_view,s-01-0140,anon-0036-1,guide-device,history-v1,page_view,2026-08-12T14:58:09+08:00,2026-08-12T06:59:36+00:00,direct,desktop,browser,,,四川
e-02-0037-page_view,s-02-0037,anon-0006-2,guide-expense,history-v1,page_view,2026-08-03T20:52:40+08:00,2026-08-03T20:53:48+08:00,search,mobile,browser,,,浙江
e-04-0134-page_view,s-04-0134,anon-0048-4,guide-map,history-v1,page_view,2026-08-12T12:11:34+08:00,2026-08-12T04:11:57+00:00,campaign,desktop,browser,,,四川
e-04-0244-page_view,s-04-0244,anon-0033-4,guide-map,history-v1,page_view,2026-08-09T19:41:05+08:00,2026-08-09T19:41:45+08:00,campaign,desktop,browser,,,江苏
e-04-0157-page_view,s-04-0157,anon-0129-4,guide-map,history-v1,page_view,2026-08-09T20:45:31+08:00,2026-08-09T20:46:53+08:00,search,desktop,browser,,,四川
crawler-0012,crawl-12,,guide-map,history-v1,page_view,2026-08-08T16:02:36+00:00,2026-08-08T16:02:37+00:00,campaign,desktop,crawler,,,四川
e-04-0090-page_view,s-04-0090,anon-0042-4,guide-map,history-v1,page_view,2026-08-13T11:55:50+00:00,2026-08-13T19:56:38+08:00,campaign,desktop,browser,,,未知
e-01-0019-read_end,s-01-0019,anon-0087-1,guide-device,history-v1,read_end,2026-08-02T16:45:26+08:00,2026-08-02T16:46:15+08:00,search,desktop,browser,3,33,上海
e-03-0096-page_view,s-03-0096,anon-0065-3,guide-remote,history-v1,page_view,2026-08-08T05:58:39+00:00,2026-08-08T13:59:48+08:00,home,mobile,browser,,,浙江
e-04-0217-page_view,s-04-0217,anon-0139-4,guide-map,history-v1,page_view,2026-08-11T22:50:42+08:00,2026-08-11T22:51:19+08:00,search,desktop,browser,,,广东
e-04-0238-page_view,s-04-0238,anon-0102-4,guide-map,history-v1,page_view,2026-08-05T12:12:18+08:00,2026-08-05T12:13:20+08:00,home,desktop,browser,,,浙江
e-04-0001-read_end,s-04-0001,anon-0115-4,guide-map,history-v1,read_end,2026-08-12T10:49:20+08:00,2026-08-12T10:49:33+08:00,campaign,mobile,browser,21,86,广东
e-02-0019-page_view,s-02-0019,,guide-expense,history-v1,page_view,2026-08-05T09:44:24+08:00,2026-08-05T09:45:46+08:00,search,mobile,browser,,,上海
e-04-0049-read_end,s-04-0049,,guide-map,history-v1,read_end,2026-08-04T10:38:24+08:00,2026-08-04T10:38:37+08:00,direct,desktop,browser,106,90,未知
e-04-0314-read_end,s-04-0314,anon-0105-4,guide-map,history-v1,read_end,2026-08-11T11:27:51+08:00,2026-08-11T03:28:10+00:00,home,desktop,browser,148,97,四川
e-04-0209-page_view,s-04-0209,anon-0132-4,guide-map,history-v1,page_view,2026-08-09T11:36:21+08:00,2026-08-09T03:36:28+00:00,home,desktop,browser,,,未知
crawler-0150,crawl-150,,guide-map,history-v1,page_view,2026-08-08T16:32:30+00:00,2026-08-08T16:32:31+00:00,campaign,desktop,crawler,,,四川
e-00-0001-page_view,s-00-0001,anon-0030-0,guide-account,history-v1,page_view,2026-08-05T23:38:21+08:00,2026-08-05T23:39:16+08:00,search,mobile,browser,,,江苏
e-03-0015-page_view,s-03-0015,anon-0027-3,guide-remote,history-v1,page_view,2026-08-08T06:53:38+00:00,2026-08-08T14:55:07+08:00,search,desktop,browser,,,北京
e-03-0133-page_view,s-03-0133,anon-0047-3,guide-remote,history-v1,page_view,2026-08-10T22:20:59+08:00,2026-08-10T22:22:28+08:00,home,mobile,browser,,,上海
crawler-0085,crawl-85,,guide-map,history-v1,page_view,2026-08-08T16:18:25+00:00,2026-08-08T16:18:26+00:00,campaign,desktop,crawler,,,浙江
e-00-0174-page_view,s-00-0174,anon-0006-0,guide-account,history-v1,page_view,2026-07-31T23:13:04+00:00,2026-08-01T07:13:52+08:00,search,desktop,browser,,,江苏
e-03-0039-page_view,s-03-0039,anon-0030-3,guide-remote,history-v1,page_view,2026-08-02T18:14:25+00:00,2026-08-03T02:14:31+08:00,search,desktop,browser,,,上海
e-04-0062-read_end,s-04-0062,anon-0036-4,guide-map,history-v1,read_end,2026-08-09T07:22:48+08:00,2026-08-08T23:23:01+00:00,search,desktop,browser,3,90,未知
e-02-0027-page_view,s-02-0027,anon-0010-2,guide-expense,history-v1,page_view,2026-08-12T04:30:00+00:00,2026-08-12T12:31:30+08:00,search,desktop,browser,,,未知
e-04-0137-page_view,s-04-0137,anon-0044-4,guide-map,history-v1,page_view,2026-08-10T19:35:31+08:00,2026-08-10T11:36:49+00:00,direct,mobile,browser,,,北京
e-03-0047-read_end,s-03-0047,anon-0037-3,guide-remote,history-v1,read_end,2026-08-10T09:36:57+08:00,2026-08-10T01:37:49+00:00,search,mobile,browser,20,9,未知
e-05-0034-page_view,s-05-0034,anon-0010-5,guide-permission,history-v1,page_view,2026-08-01T12:20:12+08:00,2026-08-01T12:21:35+08:00,search,desktop,browser,,,江苏
e-00-0126-read_end,s-00-0126,anon-0029-0,guide-account,history-v1,read_end,2026-08-10T04:00:16+00:00,2026-08-10T12:00:54+08:00,search,desktop,browser,196,81,北京
e-00-0020-read_end,s-00-0020,anon-0077-0,guide-account,history-v1,read_end,2026-08-13T04:31:39+08:00,2026-08-12T20:32:13+00:00,direct,mobile,browser,249,97,未知
e-02-0068-page_view,s-02-0068,anon-0029-2,guide-expense,history-v1,page_view,2026-08-14T11:50:29+08:00,2026-08-14T03:50:38+00:00,home,mobile,browser,,,上海
e-04-0253-page_view,s-04-0253,anon-0150-4,guide-map,history-v1,page_view,2026-08-03T10:59:14+08:00,2026-08-03T11:00:14+08:00,direct,desktop,browser,,,浙江
e-00-0097-read_end,s-00-0097,anon-0040-0,guide-account,history-v1,read_end,2026-08-04T15:46:42+08:00,2026-08-04T15:47:43+08:00,search,mobile,browser,84,27,上海
e-03-0019-read_end,s-03-0019,anon-0002-3,guide-remote,history-v1,read_end,2026-08-02T17:41:22+08:00,2026-08-02T17:42:36+08:00,home,desktop,browser,132,27,江苏
e-04-0030-page_view,s-04-0030,anon-0155-4,guide-map,history-v1,page_view,2026-08-10T08:45:50+00:00,2026-08-10T16:46:53+08:00,search,desktop,browser,,,上海
e-01-0139-read_end,s-01-0139,anon-0067-1,guide-device,history-v1,read_end,2026-08-06T08:23:54+08:00,2026-08-06T08:23:57+08:00,home,mobile,browser,235,93,北京
crawler-0104,crawl-104,,guide-map,history-v1,page_view,2026-08-08T16:22:32+00:00,2026-08-08T16:22:33+00:00,campaign,desktop,crawler,,,上海
e-04-0218-page_view,s-04-0218,anon-0164-4,guide-map,history-v1,page_view,2026-08-10T05:03:03+08:00,2026-08-09T21:03:56+00:00,search,desktop,browser,,,广东
e-04-0072-read_end,s-04-0072,anon-0089-4,guide-map,history-v1,read_end,2026-08-14T01:27:10+00:00,2026-08-14T09:28:04+08:00,home,mobile,browser,200,96,浙江
e-04-0046-page_view,s-04-0046,anon-0036-4,guide-map,history-v1,page_view,2026-08-08T07:22:28+08:00,2026-08-08T07:22:43+08:00,search,desktop,browser,,,未知
e-00-0040-read_end,s-00-0040,anon-0062-0,guide-account,history-v1,read_end,2026-08-11T01:15:20+08:00,2026-08-11T01:15:57+08:00,search,desktop,browser,149,30,上海
e-04-0283-page_view,s-04-0283,anon-0054-4,guide-map,history-v1,page_view,2026-08-13T06:06:49+08:00,2026-08-13T06:06:54+08:00,home,desktop,browser,,,四川
e-00-0253-read_end,s-00-0253,anon-0069-0,guide-account,history-v1,read_end,2026-08-02T13:02:48+08:00,2026-08-02T13:04:12+08:00,search,desktop,browser,144,95,江苏
e-01-0170-page_view,s-01-0170,anon-0021-1,guide-device,history-v1,page_view,2026-08-02T21:25:27+08:00,2026-08-02T13:26:14+00:00,home,desktop,browser,,,上海
e-01-0028-page_view,s-01-0028,anon-0086-1,guide-device,history-v1,page_view,2026-08-02T09:09:51+08:00,2026-08-02T09:10:13+08:00,direct,desktop,browser,,,四川
e-00-0226-read_end,s-00-0226,anon-0054-0,guide-account,history-v1,read_end,2026-08-10T13:00:46+08:00,2026-08-10T13:01:46+08:00,home,desktop,browser,229,81,未知
e-05-0061-page_view,s-05-0061,anon-0038-5,guide-permission,history-v1,page_view,2026-08-14T03:48:09+08:00,2026-08-14T03:48:27+08:00,search,mobile,browser,,,北京
e-04-0104-read_end,s-04-0104,anon-0146-4,guide-map,history-v1,read_end,2026-08-06T16:33:23+08:00,2026-08-06T08:34:15+00:00,direct,desktop,browser,106,77,浙江
e-00-0153-read_end,s-00-0153,,guide-account,history-v1,read_end,2026-08-09T04:32:32+00:00,2026-08-09T12:32:35+08:00,direct,desktop,browser,126,41,广东
e-04-0064-page_view,s-04-0064,anon-0046-4,guide-map,history-v1,page_view,2026-08-03T11:08:04+08:00,2026-08-03T11:09:30+08:00,campaign,mobile,browser,,,浙江
e-02-0024-read_end,s-02-0024,anon-0032-2,guide-expense,history-v1,read_end,2026-08-02T01:37:54+00:00,2026-08-02T09:38:29+08:00,search,desktop,browser,16,92,未知
e-01-0056-page_view,s-01-0056,anon-0051-1,guide-device,history-v1,page_view,2026-08-04T11:30:25+08:00,2026-08-04T03:30:43+00:00,search,mobile,browser,,,广东
crawler-0102,crawl-102,,guide-map,history-v1,page_view,2026-08-08T16:22:06+00:00,2026-08-08T16:22:07+00:00,campaign,desktop,crawler,,,四川
e-05-0049-read_end,s-05-0049,anon-0028-5,guide-permission,history-v1,read_end,2026-08-12T02:58:10+08:00,2026-08-12T02:58:23+08:00,search,desktop,browser,92,51,江苏
e-05-0101-page_view,s-05-0101,anon-0014-5,guide-permission,history-v1,page_view,2026-08-14T14:21:06+08:00,2026-08-14T06:21:17+00:00,home,mobile,browser,,,北京
e-04-0037-read_end,s-04-0037,anon-0003-4,guide-map,history-v1,read_end,2026-08-14T07:33:05+08:00,2026-08-14T07:33:18+08:00,campaign,mobile,browser,66,90,未知
e-00-0185-page_view,s-00-0185,anon-0013-0,guide-account,history-v1,page_view,2026-08-14T18:21:02+08:00,2026-08-14T10:21:26+00:00,home,desktop,browser,,,北京
e-00-0256-page_view,s-00-0256,anon-0012-0,guide-account,history-v1,page_view,2026-08-04T15:03:47+08:00,2026-08-04T15:04:32+08:00,search,desktop,browser,,,浙江
e-03-0087-read_end,s-03-0087,anon-0047-3,guide-remote,history-v1,read_end,2026-08-03T06:02:39+00:00,2026-08-03T14:03:23+08:00,search,desktop,browser,30,9,上海
