feedback_id,session_id,article_id,content_version,occurred_at,received_at,value,comment
f-00-0000,s-00-0000,guide-account,history-v1,2026-08-11T13:05:03+00:00,2026-08-11T21:05:09+08:00,unhelpful,步骤对不上当前页面
f-00-0002,s-00-0002,guide-account,history-v1,2026-08-05T04:53:03+08:00,2026-08-04T20:53:09+00:00,helpful,内容清楚
f-00-0005,s-00-0005,guide-account,history-v1,2026-08-04T22:34:39+08:00,2026-08-04T14:34:45+00:00,helpful,按步骤完成了
f-00-0006,s-00-0006,guide-account,history-v1,2026-08-03T22:41:44+00:00,2026-08-04T06:41:50+08:00,unhelpful,缺少需要准备的材料
f-00-0008,s-00-0008,guide-account,history-v1,2026-08-10T23:49:43+08:00,2026-08-10T15:49:49+00:00,helpful,内容清楚
f-00-0017,s-00-0017,guide-account,history-v1,2026-08-04T16:53:58+08:00,2026-08-04T08:54:04+00:00,helpful,按步骤完成了
f-00-0020,s-00-0020,guide-account,history-v1,2026-08-13T04:31:41+08:00,2026-08-12T20:31:47+00:00,helpful,按步骤完成了
f-00-0023,s-00-0023,guide-account,history-v1,2026-08-11T14:41:00+08:00,2026-08-11T06:41:06+00:00,helpful,方便查找
f-00-0032,s-00-0032,guide-account,history-v1,2026-08-07T11:19:32+08:00,2026-08-07T03:19:38+00:00,helpful,方便查找
f-00-0036,s-00-0036,guide-account,history-v1,2026-08-02T19:37:59+00:00,2026-08-03T03:38:05+08:00,helpful,按步骤完成了
f-00-0038,s-00-0038,guide-account,history-v1,2026-08-11T08:06:41+08:00,2026-08-11T00:06:47+00:00,helpful,内容清楚
f-00-0043,s-00-0043,guide-account,history-v1,2026-08-11T22:52:29+08:00,2026-08-11T22:52:35+08:00,helpful,内容清楚
f-00-0051,s-00-0051,guide-account,history-v1,2026-08-05T17:18:56+00:00,2026-08-06T01:19:02+08:00,unhelpful,缺少需要准备的材料
f-00-0052,s-00-0052,guide-account,history-v1,2026-08-01T15:10:41+08:00,2026-08-01T15:10:47+08:00,helpful,方便查找
f-00-0058,s-00-0058,guide-account,history-v1,2026-08-06T23:13:31+08:00,2026-08-06T23:13:37+08:00,helpful,按步骤完成了
f-00-0061,s-00-0061,guide-account,history-v1,2026-08-02T06:18:26+08:00,2026-08-02T06:18:32+08:00,helpful,方便查找
f-00-0062,s-00-0062,guide-account,history-v1,2026-08-12T18:14:54+08:00,2026-08-12T10:15:00+00:00,helpful,方便查找
f-00-0064,s-00-0064,guide-account,history-v1,2026-08-10T23:25:15+08:00,2026-08-10T23:25:21+08:00,unhelpful,步骤对不上当前页面
f-00-0074,s-00-0074,guide-account,history-v1,2026-08-10T06:08:04+08:00,2026-08-09T22:08:10+00:00,helpful,按步骤完成了
f-00-0075,s-00-0075,guide-account,history-v1,2026-08-04T02:14:25+00:00,2026-08-04T10:14:31+08:00,unhelpful,遇到错误后不知道下一步
f-00-0078,s-00-0078,guide-account,history-v1,2026-08-12T18:55:07+00:00,2026-08-13T02:55:13+08:00,helpful,按步骤完成了
