event_id,session_id,anonymous_id,article_id,content_version,event_type,occurred_at,received_at,channel,device,client_agent,duration_seconds,scroll_percent
e-06-0061-page_view,s-06-0061,anon-0004-6,guide-faq,history-v1,page_view,2026-08-02T07:07:22+08:00,2026-08-02T07:08:00+08:00,search,mobile,browser,,
e-03-0106-read_end,s-03-0106,anon-0072-3,guide-remote,history-v1,read_end,2026-08-07T15:31:43+08:00,2026-08-07T15:33:06+08:00,direct,desktop,browser,181,94
e-00-0046-page_view,s-00-0046,anon-0082-0,guide-account,history-v1,page_view,2026-08-03T02:57:46+08:00,2026-08-03T02:58:51+08:00,direct,desktop,browser,,
e-05-0000-read_end,s-05-0000,anon-0021-5,guide-permission,history-v1,read_end,2026-08-11T04:42:37+00:00,2026-08-12T12:42:45+08:00,home,desktop,browser,3,99
e-00-0138-page_view,s-00-0138,anon-0107-0,guide-account,history-v1,page_view,2026-08-11T21:02:10+00:00,2026-08-12T05:03:14+08:00,home,desktop,browser,,
e-04-0116-read_end,s-04-0116,anon-0059-4,guide-map,history-v1,read_end,2026-08-04T06:13:45+08:00,2026-08-03T22:13:55+00:00,direct,mobile,browser,3,76
e-05-0008-page_view,s-05-0008,anon-0035-5,guide-permission,history-v1,page_view,2026-08-07T05:51:29+08:00,2026-08-06T21:51:43+00:00,search,mobile,browser,,
e-05-0078-read_end,s-05-0078,anon-0011-5,guide-permission,history-v1,read_end,2026-08-14T01:21:38+00:00,2026-08-14T09:21:39+08:00,home,desktop,browser,105,30
e-00-0238-page_view,s-00-0238,anon-0112-0,guide-account,history-v1,page_view,2026-08-05T13:41:33+08:00,2026-08-05T13:42:24+08:00,search,desktop,browser,,
e-04-0197-read_end,s-04-0197,anon-0016-4,guide-map,history-v1,read_end,2026-08-08T12:47:12+08:00,2026-08-08T04:48:20+00:00,direct,desktop,browser,3,31
e-00-0191-page_view,s-00-0191,anon-0099-0,guide-account,history-v1,page_view,2026-08-08T20:29:50+08:00,2026-08-08T12:29:54+00:00,direct,mobile,browser,,
e-05-0024-page_view,s-05-0024,anon-0029-5,guide-permission,history-v1,page_view,2026-08-13T17:04:18+00:00,2026-08-14T01:04:45+08:00,search,mobile,browser,,
e-04-0074-read_end,s-04-0074,anon-0074-4,guide-map,history-v1,read_end,2026-08-11T07:32:48+08:00,2026-08-10T23:32:56+00:00,campaign,mobile,browser,133,83
e-03-0078-read_end,s-03-0078,anon-0065-3,guide-remote,history-v1,read_end,2026-08-05T23:24:40+00:00,2026-08-06T07:25:48+08:00,direct,desktop,browser,86,13
e-07-0011-read_end,s-07-0011,anon-0000-7,guide-search,history-v1,read_end,2026-08-13T00:06:58+08:00,2026-08-12T16:07:09+00:00,search,desktop,browser,248,38
e-00-0002-read_end,s-00-0002,anon-0031-0,guide-account,history-v1,read_end,2026-08-05T04:53:01+08:00,2026-08-04T20:53:44+00:00,search,mobile,browser,91,72
e-04-0203-read_end,s-04-0203,anon-0124-4,guide-map,history-v1,read_end,2026-08-04T13:51:08+08:00,2026-08-04T05:51:59+00:00,campaign,mobile,browser,166,41
e-01-0154-read_end,s-01-0154,anon-0081-1,guide-device,history-v1,read_end,2026-08-09T13:20:55+08:00,2026-08-09T13:22:17+08:00,search,mobile,browser,65,86
crawler-0109,crawl-109,,guide-map,history-v1,page_view,2026-08-08T16:23:37+00:00,2026-08-08T16:23:38+00:00,campaign,desktop,crawler,,
e-00-0019-page_view,s-00-0019,anon-0108-0,guide-account,history-v1,page_view,2026-08-14T20:02:37+08:00,2026-08-14T20:03:42+08:00,direct,desktop,browser,,
e-02-0060-read_end,s-02-0060,anon-0012-2,guide-expense,history-v1,read_end,2026-08-12T09:20:34+00:00,2026-08-12T17:20:46+08:00,campaign,mobile,browser,84,98
e-00-0204-page_view,s-00-0204,anon-0040-0,guide-account,history-v1,page_view,2026-08-13T19:17:57+00:00,2026-08-14T03:19:22+08:00,search,desktop,browser,,
e-00-0234-page_view,s-00-0234,anon-0085-0,guide-account,history-v1,page_view,2026-08-06T06:50:47+00:00,2026-08-06T14:51:11+08:00,direct,desktop,browser,,
e-03-0005-read_end,s-03-0005,anon-0045-3,guide-remote,history-v1,read_end,2026-08-08T16:07:09+08:00,2026-08-08T08:07:30+00:00,search,mobile,browser,12,8
e-00-0106-page_view,s-00-0106,anon-0101-0,guide-account,history-v1,page_view,2026-08-13T06:07:08+08:00,2026-08-13T06:08:08+08:00,search,desktop,browser,,
e-00-0227-page_view,s-00-0227,anon-0064-0,guide-account,history-v1,page_view,2026-08-06T14:06:12+08:00,2026-08-06T06:06:31+00:00,search,desktop,browser,,
e-01-0114-page_view,s-01-0114,,guide-device,history-v1,page_view,2026-08-10T10:08:47+00:00,2026-08-10T18:08:54+08:00,campaign,desktop,browser,,
e-01-0109-page_view,s-01-0109,anon-0068-1,guide-device,history-v1,page_view,2026-08-02T20:13:33+08:00,2026-08-02T20:14:43+08:00,home,mobile,browser,,
e-01-0124-read_end,s-01-0124,anon-0038-1,guide-device,history-v1,read_end,2026-08-05T04:41:27+08:00,2026-08-05T04:41:40+08:00,search,desktop,browser,81,79
e-06-0012-page_view,s-06-0012,anon-0014-6,guide-faq,history-v1,page_view,2026-08-13T02:11:13+00:00,2026-08-13T10:12:37+08:00,direct,desktop,browser,,
e-03-0008-page_view,s-03-0008,anon-0017-3,guide-remote,history-v1,page_view,2026-08-13T00:23:02+08:00,2026-08-12T16:24:16+00:00,search,desktop,browser,,
e-01-0075-page_view,s-01-0075,anon-0003-1,guide-device,history-v1,page_view,2026-08-11T05:21:32+00:00,2026-08-11T13:21:40+08:00,direct,mobile,browser,,
e-04-0170-read_end,s-04-0170,anon-0138-4,guide-map,history-v1,read_end,2026-08-09T02:43:43+08:00,2026-08-08T18:43:49+00:00,direct,desktop,browser,123,27
e-04-0195-page_view,s-04-0195,anon-0100-4,guide-map,history-v1,page_view,2026-08-13T01:32:15+00:00,2026-08-13T09:32:52+08:00,campaign,mobile,browser,,
crawler-0121,crawl-121,,guide-map,history-v1,page_view,2026-08-08T16:26:13+00:00,2026-08-08T16:26:14+00:00,campaign,desktop,crawler,,
e-02-0082-read_end,s-02-0082,anon-0039-2,guide-expense,history-v1,read_end,2026-08-04T13:19:36+08:00,2026-08-05T13:20:55+08:00,home,mobile,browser,212,79
e-01-0152-page_view,s-01-0152,anon-0089-1,guide-device,history-v1,page_view,2026-08-10T06:58:14+08:00,2026-08-09T22:58:32+00:00,search,desktop,browser,,
e-04-0006-read_end,s-04-0006,anon-0103-4,guide-map,history-v1,read_end,2026-08-03T05:24:03+00:00,2026-08-03T13:25:28+08:00,campaign,mobile,browser,84,41
e-03-0150-page_view,s-03-0150,anon-0055-3,guide-remote,history-v1,page_view,2026-08-07T02:16:32+00:00,2026-08-07T10:17:37+08:00,home,desktop,browser,,
crawler-0114,crawl-114,,guide-map,history-v1,page_view,2026-08-08T16:24:42+00:00,2026-08-08T16:24:43+00:00,campaign,desktop,crawler,,
e-01-0166-read_end,s-01-0166,anon-0033-1,guide-device,history-v1,read_end,2026-08-11T04:44:44+08:00,2026-08-11T04:45:53+08:00,search,mobile,browser,130,90
crawler-0054,crawl-54,,guide-map,history-v1,page_view,2026-08-08T16:11:42+00:00,2026-08-08T16:11:43+00:00,campaign,desktop,crawler,,
e-05-0012-page_view,s-05-0012,anon-0036-5,guide-permission,history-v1,page_view,2026-08-07T06:34:33+00:00,2026-08-07T14:34:59+08:00,search,mobile,browser,,
e-00-0255-page_view,s-00-0255,anon-0065-0,guide-account,history-v1,page_view,2026-08-08T04:49:42+00:00,2026-08-08T12:50:25+08:00,search,desktop,browser,,
e-03-0079-page_view,s-03-0079,anon-0046-3,guide-remote,history-v1,page_view,2026-08-05T08:29:10+08:00,2026-08-05T08:29:42+08:00,direct,mobile,browser,,
e-05-0007-read_end,s-05-0007,anon-0036-5,guide-permission,history-v1,read_end,2026-08-02T07:22:21+08:00,2026-08-02T07:23:40+08:00,search,desktop,browser,121,96
e-00-0122-page_view,s-00-0122,anon-0115-0,guide-account,history-v1,page_view,2026-08-03T06:14:14+08:00,2026-08-02T22:15:19+00:00,home,desktop,browser,,
e-00-0013-read_end,s-00-0013,anon-0064-0,guide-account,history-v1,read_end,2026-08-04T07:18:54+08:00,2026-08-04T07:20:04+08:00,home,desktop,browser,142,80
e-02-0028-read_end,s-02-0028,,guide-expense,history-v1,read_end,2026-08-12T01:23:44+08:00,2026-08-12T01:24:35+08:00,home,desktop,browser,88,52
e-07-0009-read_end,s-07-0009,anon-0001-7,guide-search,history-v1,read_end,2026-08-13T04:18:27+00:00,2026-08-13T12:18:36+08:00,direct,mobile,browser,86,99
e-01-0007-read_end,s-01-0007,anon-0040-1,guide-device,history-v1,read_end,2026-08-01T20:35:57+08:00,2026-08-01T20:36:45+08:00,home,mobile,browser,166,78
e-00-0154-read_end,s-00-0154,anon-0076-0,guide-account,history-v1,read_end,2026-08-06T22:43:09+08:00,2026-08-06T22:43:32+08:00,home,desktop,browser,85,13
e-01-0014-read_end,s-01-0014,anon-0085-1,guide-device,history-v1,read_end,2026-08-02T16:46:54+08:00,2026-08-02T08:47:25+00:00,search,desktop,browser,97,93
e-01-0041-page_view,s-01-0041,anon-0071-1,guide-device,history-v1,page_view,2026-08-12T21:48:31+08:00,2026-08-13T13:48:59+00:00,search,desktop,browser,,
e-00-0229-page_view,s-00-0229,anon-0046-0,guide-account,history-v1,page_view,2026-08-07T09:15:57+08:00,2026-08-07T09:17:12+08:00,search,mobile,browser,,
e-01-0152-read_end,s-01-0152,anon-0089-1,guide-device,history-v1,read_end,2026-08-10T06:59:04+08:00,2026-08-09T22:59:10+00:00,search,desktop,browser,50,87
e-00-0249-page_view,s-00-0249,anon-0068-0,guide-account,history-v1,page_view,2026-08-01T02:29:22+00:00,2026-08-01T10:30:16+08:00,search,mobile,browser,,
e-04-0110-page_view,s-04-0110,anon-0155-4,guide-map,history-v1,page_view,2026-08-06T12:13:13+08:00,2026-08-06T04:13:44+00:00,campaign,mobile,browser,,
e-04-0009-page_view,s-04-0009,anon-0144-4,guide-map,history-v1,page_view,2026-08-11T13:45:21+00:00,2026-08-11T21:46:17+08:00,home,mobile,browser,,
e-04-0004-read_end,s-04-0004,anon-0064-4,guide-map,history-v1,read_end,2026-08-06T12:51:32+08:00,2026-08-06T12:52:11+08:00,search,desktop,browser,105,96
e-01-0005-page_view,s-01-0005,anon-0071-1,guide-device,history-v1,page_view,2026-08-01T22:37:46+08:00,2026-08-01T14:38:20+00:00,direct,desktop,browser,,
e-01-0150-page_view,s-01-0150,anon-0008-1,guide-device,history-v1,page_view,2026-08-01T14:03:48+00:00,2026-08-01T22:04:34+08:00,home,mobile,browser,,
e-00-0061-page_view,s-00-0061,anon-0110-0,guide-account,history-v1,page_view,2026-08-02T06:13:59+08:00,2026-08-02T06:14:36+08:00,search,mobile,browser,,
crawler-0031,crawl-31,,guide-map,history-v1,page_view,2026-08-08T16:06:43+00:00,2026-08-08T16:06:44+00:00,campaign,desktop,crawler,,
e-04-0181-page_view,s-04-0181,anon-0024-4,guide-map,history-v1,page_view,2026-08-03T09:07:52+08:00,2026-08-03T09:08:09+08:00,campaign,desktop,browser,,
