ticket_id,created_at,topic,article_id,reported_read_article,summary,handling_minutes
t-00-000,2026-08-04T23:39:37+00:00,账号,,yes,账号办理遇到问题，需要进一步说明。,35
t-00-001,2026-08-07T11:04:47+08:00,账号,guide-account,no,账号办理遇到问题，需要进一步说明。,20
t-00-002,2026-08-06T06:20:22+08:00,账号,guide-account,unknown,账号办理遇到问题，需要进一步说明。,10
t-00-003,2026-08-03T11:37:17+00:00,账号,guide-account,yes,账号办理遇到问题，需要进一步说明。,15
t-00-004,2026-08-01T12:37:46+08:00,账号,,no,账号办理遇到问题，需要进一步说明。,35
t-00-005,2026-08-10T07:38:55+08:00,账号,guide-account,unknown,账号办理遇到问题，需要进一步说明。,35
t-00-006,2026-08-03T10:46:51+00:00,账号,guide-account,yes,账号办理遇到问题，需要进一步说明。,20
t-00-007,2026-08-12T17:21:30+08:00,账号,guide-account,no,账号办理遇到问题，需要进一步说明。,35
t-00-008,2026-08-13T03:19:39+08:00,账号,,unknown,账号办理遇到问题，需要进一步说明。,20
t-00-009,2026-08-09T07:49:50+00:00,账号,guide-account,yes,账号办理遇到问题，需要进一步说明。,35
t-00-010,2026-08-08T10:30:21+08:00,账号,guide-account,no,账号办理遇到问题，需要进一步说明。,15
t-00-011,2026-08-06T01:19:16+08:00,账号,guide-account,unknown,账号办理遇到问题，需要进一步说明。,15
t-00-012,2026-08-05T22:21:25+00:00,账号,,yes,账号办理遇到问题，需要进一步说明。,20
t-01-000,2026-08-09T10:43:34+00:00,设备,,yes,设备办理遇到问题，需要进一步说明。,5
t-01-001,2026-08-02T18:37:21+08:00,设备,guide-device,no,设备办理遇到问题，需要进一步说明。,15
t-01-002,2026-08-13T00:53:44+08:00,设备,guide-device,unknown,设备办理遇到问题，需要进一步说明。,20
t-01-003,2026-08-01T14:50:48+00:00,设备,guide-device,yes,设备办理遇到问题，需要进一步说明。,35
t-01-004,2026-08-10T20:57:30+08:00,设备,,no,设备办理遇到问题，需要进一步说明。,10
t-01-005,2026-08-03T09:17:39+08:00,设备,guide-device,unknown,设备办理遇到问题，需要进一步说明。,10
t-01-006,2026-08-04T08:34:01+00:00,设备,guide-device,yes,设备办理遇到问题，需要进一步说明。,10
t-01-007,2026-08-06T16:23:22+08:00,设备,guide-device,no,设备办理遇到问题，需要进一步说明。,35
t-02-000,2026-08-01T21:41:12+00:00,报销,,yes,报销办理遇到问题，需要进一步说明。,35
t-02-001,2026-08-11T01:47:05+08:00,报销,guide-expense,no,报销办理遇到问题，需要进一步说明。,20
t-02-002,2026-08-07T04:19:04+08:00,报销,guide-expense,unknown,报销办理遇到问题，需要进一步说明。,5
t-02-003,2026-08-13T21:15:19+00:00,报销,guide-expense,yes,报销办理遇到问题，需要进一步说明。,15
t-02-004,2026-08-11T19:03:02+08:00,报销,,no,报销办理遇到问题，需要进一步说明。,10
t-02-005,2026-08-08T15:35:56+08:00,报销,guide-expense,unknown,报销办理遇到问题，需要进一步说明。,10
t-02-006,2026-08-13T09:56:42+00:00,报销,guide-expense,yes,报销办理遇到问题，需要进一步说明。,15
t-02-007,2026-08-09T20:49:52+08:00,报销,guide-expense,no,报销办理遇到问题，需要进一步说明。,10
t-02-008,2026-08-04T21:56:55+08:00,报销,,unknown,报销办理遇到问题，需要进一步说明。,35
t-02-009,2026-08-10T12:43:47+00:00,报销,guide-expense,yes,报销办理遇到问题，需要进一步说明。,35
t-02-010,2026-08-09T12:04:14+08:00,报销,guide-expense,no,报销办理遇到问题，需要进一步说明。,5
t-02-011,2026-08-09T10:01:39+08:00,报销,guide-expense,unknown,报销办理遇到问题，需要进一步说明。,35
t-02-012,2026-08-04T15:24:14+00:00,报销,,yes,报销办理遇到问题，需要进一步说明。,20
t-02-013,2026-08-10T12:33:51+08:00,报销,guide-expense,no,报销办理遇到问题，需要进一步说明。,35
t-02-014,2026-08-05T11:39:38+08:00,报销,guide-expense,unknown,报销办理遇到问题，需要进一步说明。,5
t-02-015,2026-08-12T10:11:52+00:00,报销,guide-expense,yes,报销办理遇到问题，需要进一步说明。,35
t-03-000,2026-08-13T20:59:04+00:00,网络,,yes,网络办理遇到问题，需要进一步说明。,20
t-03-001,2026-08-14T01:32:39+08:00,网络,guide-remote,no,网络办理遇到问题，需要进一步说明。,5
t-03-002,2026-08-01T13:13:19+08:00,网络,guide-remote,unknown,网络办理遇到问题，需要进一步说明。,15
t-03-003,2026-08-01T11:17:23+00:00,网络,guide-remote,yes,网络办理遇到问题，需要进一步说明。,5
t-03-004,2026-08-09T05:25:33+08:00,网络,,no,网络办理遇到问题，需要进一步说明。,35
t-03-005,2026-08-11T04:55:37+08:00,网络,guide-remote,unknown,网络办理遇到问题，需要进一步说明。,15
t-03-006,2026-08-10T05:27:43+00:00,网络,guide-remote,yes,网络办理遇到问题，需要进一步说明。,15
t-03-007,2026-08-07T08:34:06+08:00,网络,guide-remote,no,网络办理遇到问题，需要进一步说明。,5
t-03-008,2026-08-05T10:39:05+08:00,网络,,unknown,网络办理遇到问题，需要进一步说明。,35
t-03-009,2026-08-08T08:19:07+00:00,网络,guide-remote,yes,网络办理遇到问题，需要进一步说明。,35
t-03-010,2026-08-11T07:51:20+08:00,网络,guide-remote,no,网络办理遇到问题，需要进一步说明。,10
t-03-011,2026-08-13T18:34:27+08:00,网络,guide-remote,unknown,网络办理遇到问题，需要进一步说明。,35
t-03-012,2026-08-01T14:58:23+00:00,网络,,yes,网络办理遇到问题，需要进一步说明。,10
t-03-013,2026-08-12T11:55:37+08:00,网络,guide-remote,no,网络办理遇到问题，需要进一步说明。,20
t-03-014,2026-08-11T10:58:13+08:00,网络,guide-remote,unknown,网络办理遇到问题，需要进一步说明。,20
t-03-015,2026-08-09T18:04:03+00:00,网络,guide-remote,yes,网络办理遇到问题，需要进一步说明。,35
t-03-016,2026-08-10T19:51:14+08:00,网络,,no,网络办理遇到问题，需要进一步说明。,15
t-03-017,2026-08-05T00:28:50+08:00,网络,guide-remote,unknown,网络办理遇到问题，需要进一步说明。,5
t-03-018,2026-08-03T00:43:24+00:00,网络,guide-remote,yes,网络办理遇到问题，需要进一步说明。,20
t-03-019,2026-08-05T04:37:05+08:00,网络,guide-remote,no,网络办理遇到问题，需要进一步说明。,15
t-04-000,2026-08-06T21:47:55+00:00,入职,,yes,入职办理遇到问题，需要进一步说明。,15
t-04-001,2026-08-02T15:34:35+08:00,入职,guide-map,no,入职办理遇到问题，需要进一步说明。,20
t-04-002,2026-08-06T20:51:06+08:00,入职,guide-map,unknown,入职办理遇到问题，需要进一步说明。,5
t-04-003,2026-08-12T06:31:10+00:00,入职,guide-map,yes,入职办理遇到问题，需要进一步说明。,20
t-04-004,2026-08-08T10:41:28+08:00,入职,,no,入职办理遇到问题，需要进一步说明。,10
t-05-000,2026-08-05T23:25:37+00:00,权限,,yes,权限办理遇到问题，需要进一步说明。,5
t-05-001,2026-08-03T06:14:14+08:00,权限,guide-permission,no,权限办理遇到问题，需要进一步说明。,15
t-05-002,2026-08-11T18:37:25+08:00,权限,guide-permission,unknown,权限办理遇到问题，需要进一步说明。,20
t-05-003,2026-08-09T11:04:57+00:00,权限,guide-permission,yes,权限办理遇到问题，需要进一步说明。,35
t-05-004,2026-08-03T03:38:15+08:00,权限,,no,权限办理遇到问题，需要进一步说明。,35
t-05-005,2026-08-09T06:26:37+08:00,权限,guide-permission,unknown,权限办理遇到问题，需要进一步说明。,10
t-05-006,2026-08-07T18:58:11+00:00,权限,guide-permission,yes,权限办理遇到问题，需要进一步说明。,35
t-05-007,2026-08-03T15:28:20+08:00,权限,guide-permission,no,权限办理遇到问题，需要进一步说明。,10
t-05-008,2026-08-04T06:35:19+08:00,权限,,unknown,权限办理遇到问题，需要进一步说明。,20
t-05-009,2026-08-12T19:40:18+00:00,权限,guide-permission,yes,权限办理遇到问题，需要进一步说明。,10
t-05-010,2026-08-06T16:01:54+08:00,权限,guide-permission,no,权限办理遇到问题，需要进一步说明。,10
t-05-011,2026-08-12T21:47:38+08:00,权限,guide-permission,unknown,权限办理遇到问题，需要进一步说明。,15
t-05-012,2026-08-02T19:47:11+00:00,权限,,yes,权限办理遇到问题，需要进一步说明。,15
